zip,service_type,subregion
975,Electricity,PRMS
976,Electricity,PRMS
977,Electricity,PRMS
978,Electricity,PRMS
979,Electricity,PRMS
981,Electricity,PRMS
982,Electricity,PRMS
983,Electricity,PRMS
984,Electricity,PRMS
985,Electricity,PRMS
986,Electricity,PRMS
987,Electricity,PRMS
988,Electricity,PRMS
1001,Electricity,NEWE
1002,Electricity,NEWE
1003,Electricity,NEWE
1004,Electricity,NEWE
1005,Electricity,NEWE
1007,Electricity,NEWE
1008,Electricity,NEWE
1009,Electricity,NEWE
1010,Electricity,NEWE
1011,Electricity,NEWE
1012,Electricity,NEWE
1013,Electricity,NEWE
1014,Electricity,NEWE
1020,Electricity,NEWE
1021,Electricity,NEWE
1022,Electricity,NEWE
1026,Electricity,NEWE
1027,Electricity,NEWE
1028,Electricity,NEWE
1029,Electricity,NEWE
1030,Electricity,NEWE
1031,Electricity,NEWE
1032,Electricity,NEWE
1033,Electricity,NEWE
1034,Electricity,NEWE
1035,Electricity,NEWE
1036,Electricity,NEWE
1037,Electricity,NEWE
1038,Electricity,NEWE
1039,Electricity,NEWE
1040,Electricity,NEWE
1041,Electricity,NEWE
1050,Electricity,NEWE
1053,Electricity,NEWE
1054,Electricity,NEWE
1056,Electricity,NEWE
1057,Electricity,NEWE
1059,Electricity,NEWE
1060,Electricity,NEWE
1061,Electricity,NEWE
1062,Electricity,NEWE
1063,Electricity,NEWE
1066,Electricity,NEWE
1068,Electricity,NEWE
1069,Electricity,NEWE
1070,Electricity,NEWE
1071,Electricity,NEWE
1072,Electricity,NEWE
1073,Electricity,NEWE
1074,Electricity,NEWE
1075,Electricity,NEWE
1077,Electricity,NEWE
1079,Electricity,NEWE
1080,Electricity,NEWE
1081,Electricity,NEWE
1082,Electricity,NEWE
1083,Electricity,NEWE
1084,Electricity,NEWE
1085,Electricity,NEWE
1086,Electricity,NEWE
1088,Electricity,NEWE
1089,Electricity,NEWE
1090,Electricity,NEWE
1092,Electricity,NEWE
1093,Electricity,NEWE
1094,Electricity,NEWE
1095,Electricity,NEWE
1096,Electricity,NEWE
1097,Electricity,NEWE
1098,Electricity,NEWE
1101,Electricity,NEWE
1102,Electricity,NEWE
1103,Electricity,NEWE
1104,Electricity,NEWE
1105,Electricity,NEWE
1106,Electricity,NEWE
1107,Electricity,NEWE
1108,Electricity,NEWE
1109,Electricity,NEWE
1111,Electricity,NEWE
1115,Electricity,NEWE
1116,Electricity,NEWE
1118,Electricity,NEWE
1119,Electricity,NEWE
1128,Electricity,NEWE
1129,Electricity,NEWE
1138,Electricity,NEWE
1139,Electricity,NEWE
1144,Electricity,NEWE
1151,Electricity,NEWE
1152,Electricity,NEWE
1199,Electricity,NEWE
1201,Electricity,NEWE
1202,Electricity,NEWE
1203,Electricity,NEWE
1220,Electricity,NEWE
1222,Electricity,NEWE
1223,Electricity,NEWE
1224,Electricity,NEWE
1225,Electricity,NEWE
1226,Electricity,NEWE
1227,Electricity,NEWE
1229,Electricity,NEWE
1230,Electricity,NEWE
1235,Electricity,NEWE
1236,Electricity,NEWE
1237,Electricity,NEWE
1238,Electricity,NEWE
1240,Electricity,NEWE
1242,Electricity,NEWE
1243,Electricity,NEWE
1244,Electricity,NEWE
1245,Electricity,NEWE
1247,Electricity,NEWE
1252,Electricity,NEWE
1253,Electricity,NEWE
1254,Electricity,NEWE
1255,Electricity,NEWE
1256,Electricity,NEWE
1257,Electricity,NEWE
1258,Electricity,NEWE
1259,Electricity,NEWE
1260,Electricity,NEWE
1262,Electricity,NEWE
1263,Electricity,NEWE
1264,Electricity,NEWE
1266,Electricity,NEWE
1267,Electricity,NEWE
1270,Electricity,NEWE
1301,Electricity,NEWE
1302,Electricity,NEWE
1330,Electricity,NEWE
1331,Electricity,NEWE
1337,Electricity,NEWE
1338,Electricity,NEWE
1339,Electricity,NEWE
1340,Electricity,NEWE
1341,Electricity,NEWE
1342,Electricity,NEWE
1343,Electricity,NEWE
1344,Electricity,NEWE
1346,Electricity,NEWE
1347,Electricity,NEWE
1349,Electricity,NEWE
1350,Electricity,NEWE
1351,Electricity,NEWE
1354,Electricity,NEWE
1355,Electricity,NEWE
1360,Electricity,NEWE
1364,Electricity,NEWE
1366,Electricity,NEWE
1367,Electricity,NEWE
1368,Electricity,NEWE
1370,Electricity,NEWE
1373,Electricity,NEWE
1375,Electricity,NEWE
1376,Electricity,NEWE
1378,Electricity,NEWE
1379,Electricity,NEWE
1380,Electricity,NEWE
1420,Electricity,NEWE
1430,Electricity,NEWE
1431,Electricity,NEWE
1432,Electricity,NEWE
1434,Electricity,NEWE
1436,Electricity,NEWE
1438,Electricity,NEWE
1440,Electricity,NEWE
1441,Electricity,NEWE
1450,Electricity,NEWE
1451,Electricity,NEWE
1452,Electricity,NEWE
1453,Electricity,NEWE
1460,Electricity,NEWE
1462,Electricity,NEWE
1463,Electricity,NEWE
1464,Electricity,NEWE
1467,Electricity,NEWE
1468,Electricity,NEWE
1469,Electricity,NEWE
1470,Electricity,NEWE
1471,Electricity,NEWE
1472,Electricity,NEWE
1473,Electricity,NEWE
1474,Electricity,NEWE
1475,Electricity,NEWE
1477,Electricity,NEWE
1501,Electricity,NEWE
1503,Electricity,NEWE
1504,Electricity,NEWE
1505,Electricity,NEWE
1506,Electricity,NEWE
1507,Electricity,NEWE
1508,Electricity,NEWE
1509,Electricity,NEWE
1510,Electricity,NEWE
1515,Electricity,NEWE
1516,Electricity,NEWE
1517,Electricity,NEWE
1518,Electricity,NEWE
1519,Electricity,NEWE
