"source","ef_publishdate","ef_activedate","ef_retiredate","ef_activeyear","service_type","emission_category","emission_scope","country","subregion","service_type_unit","ghg","ghg_unit","source_emission_factor","unit_conversion","conversion_factor","ghg_emission_factor"
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RFCE","kWh","CO2","lbs",0.657386,2.2046230000000002,"lbs_per_kg",0.2981852225981494
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RFCM","kWh","CO2","lbs",1.216404,2.2046230000000002,"lbs_per_kg",0.5517514785974744
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RFCW","kWh","CO2","lbs",1.000053,2.2046230000000002,"lbs_per_kg",0.4536163325883836
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RMPA","kWh","CO2","lbs",1.124887,2.2046230000000002,"lbs_per_kg",0.510240072792491
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SPNO","kWh","CO2","lbs",0.952575,2.2046230000000002,"lbs_per_kg",0.43208067773945924
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SPSO","kWh","CO2","lbs",0.970398,2.2046230000000002,"lbs_per_kg",0.4401650531632846
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRMV","kWh","CO2","lbs",0.801015,2.2046230000000002,"lbs_per_kg",0.36333422993409753
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRMW","kWh","CO2","lbs",1.369887,2.2046230000000002,"lbs_per_kg",0.6213701843807308
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRSO","kWh","CO2","lbs",0.89329,2.2046230000000002,"lbs_per_kg",0.40518945869656625
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRTV","kWh","CO2","lbs",0.933067,2.2046230000000002,"lbs_per_kg",0.4232319993032822
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRVC","kWh","CO2","lbs",0.622987,2.2046230000000002,"lbs_per_kg",0.2825821013388683
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","AKGD","kWh","CH4","lbs",8.8e-5,2.2046230000000002,"lbs_per_kg",3.9916121713326946e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","AKMS","kWh","CH4","lbs",2.3e-5,2.2046230000000002,"lbs_per_kg",1.0432622720528633e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","AZNM","kWh","CH4","lbs",5.1e-5,2.2046230000000002,"lbs_per_kg",2.313320690204175e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","CAMX","kWh","CH4","lbs",3e-5,2.2046230000000002,"lbs_per_kg",1.3607768765906914e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","ERCT","kWh","CH4","lbs",4.9e-5,2.2046230000000002,"lbs_per_kg",2.2226022317647957e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","FRCC","kWh","CH4","lbs",4.8e-5,2.2046230000000002,"lbs_per_kg",2.177243002545106e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","HIMS","kWh","CH4","lbs",1.24e-4,2.2046230000000002,"lbs_per_kg",5.6245444232415245e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","HIOA","kWh","CH4","lbs",1.63e-4,2.2046230000000002,"lbs_per_kg",7.393554362809423e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","MROE","kWh","CH4","lbs",1.33e-4,2.2046230000000002,"lbs_per_kg",6.032777486218732e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","MROW","kWh","CH4","lbs",1.02e-4,2.2046230000000002,"lbs_per_kg",4.62664138040835e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NEWE","kWh","CH4","lbs",6.3e-5,2.2046230000000002,"lbs_per_kg",2.857631440840452e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NWPP","kWh","CH4","lbs",5.6e-5,2.2046230000000002,"lbs_per_kg",2.5401168363026238e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NYCW","kWh","CH4","lbs",2.3e-5,2.2046230000000002,"lbs_per_kg",1.0432622720528633e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NYLI","kWh","CH4","lbs",1.35e-4,2.2046230000000002,"lbs_per_kg",6.12349594465811e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NYUP","kWh","CH4","lbs",1.5e-5,2.2046230000000002,"lbs_per_kg",6.803884382953457e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","PRMS","kWh","CH4","lbs",8.7e-5,2.2046230000000002,"lbs_per_kg",3.9462529421130046e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RFCE","kWh","CH4","lbs",4.5e-5,2.2046230000000002,"lbs_per_kg",2.041165314886037e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RFCM","kWh","CH4","lbs",1.16e-4,2.2046230000000002,"lbs_per_kg",5.2616705894840064e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RFCW","kWh","CH4","lbs",8.7e-5,2.2046230000000002,"lbs_per_kg",3.9462529421130046e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RMPA","kWh","CH4","lbs",1.01e-4,2.2046230000000002,"lbs_per_kg",4.581282151188661e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SPNO","kWh","CH4","lbs",1e-4,2.2046230000000002,"lbs_per_kg",4.5359229219689715e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SPSO","kWh","CH4","lbs",7.2e-5,2.2046230000000002,"lbs_per_kg",3.265864503817659e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRMV","kWh","CH4","lbs",4e-5,2.2046230000000002,"lbs_per_kg",1.8143691687875886e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRMW","kWh","CH4","lbs",1.51e-4,2.2046230000000002,"lbs_per_kg",6.849243612173147e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRSO","kWh","CH4","lbs",6.4e-5,2.2046230000000002,"lbs_per_kg",2.9029906700601413e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRTV","kWh","CH4","lbs",8.2e-5,2.2046230000000002,"lbs_per_kg",3.7194567960145565e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRVC","kWh","CH4","lbs",4.7e-5,2.2046230000000002,"lbs_per_kg",2.1318837733254164e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","AKGD","kWh","N2O","lbs",1.2e-5,2.2046230000000002,"lbs_per_kg",5.443107506362765e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","AKMS","kWh","N2O","lbs",4e-6,2.2046230000000002,"lbs_per_kg",1.8143691687875883e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","AZNM","kWh","N2O","lbs",7e-6,2.2046230000000002,"lbs_per_kg",3.1751460453782798e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","CAMX","kWh","N2O","lbs",4e-6,2.2046230000000002,"lbs_per_kg",1.8143691687875883e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","ERCT","kWh","N2O","lbs",7e-6,2.2046230000000002,"lbs_per_kg",3.1751460453782798e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","FRCC","kWh","N2O","lbs",6e-6,2.2046230000000002,"lbs_per_kg",2.7215537531813825e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","HIMS","kWh","N2O","lbs",1.9e-5,2.2046230000000002,"lbs_per_kg",8.618253551741046e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","HIOA","kWh","N2O","lbs",2.5e-5,2.2046230000000002,"lbs_per_kg",1.1339807304922429e-5
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","MROE","kWh","N2O","lbs",1.9e-5,2.2046230000000002,"lbs_per_kg",8.618253551741046e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","MROW","kWh","N2O","lbs",1.5e-5,2.2046230000000002,"lbs_per_kg",6.803884382953457e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NEWE","kWh","N2O","lbs",8e-6,2.2046230000000002,"lbs_per_kg",3.6287383375751766e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NWPP","kWh","N2O","lbs",8e-6,2.2046230000000002,"lbs_per_kg",3.6287383375751766e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NYCW","kWh","N2O","lbs",3e-6,2.2046230000000002,"lbs_per_kg",1.3607768765906913e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NYLI","kWh","N2O","lbs",1.8e-5,2.2046230000000002,"lbs_per_kg",8.164661259544148e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","NYUP","kWh","N2O","lbs",2e-6,2.2046230000000002,"lbs_per_kg",9.071845843937941e-7
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","PRMS","kWh","N2O","lbs",1.4e-5,2.2046230000000002,"lbs_per_kg",6.3502920907565596e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RFCE","kWh","N2O","lbs",6e-6,2.2046230000000002,"lbs_per_kg",2.7215537531813825e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RFCM","kWh","N2O","lbs",1.6e-5,2.2046230000000002,"lbs_per_kg",7.257476675150353e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RFCW","kWh","N2O","lbs",1.2e-5,2.2046230000000002,"lbs_per_kg",5.443107506362765e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","RMPA","kWh","N2O","lbs",1.4e-5,2.2046230000000002,"lbs_per_kg",6.3502920907565596e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SPNO","kWh","N2O","lbs",1.4e-5,2.2046230000000002,"lbs_per_kg",6.3502920907565596e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SPSO","kWh","N2O","lbs",1e-5,2.2046230000000002,"lbs_per_kg",4.5359229219689715e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRMV","kWh","N2O","lbs",6e-6,2.2046230000000002,"lbs_per_kg",2.7215537531813825e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRMW","kWh","N2O","lbs",2.2e-5,2.2046230000000002,"lbs_per_kg",9.979030428331737e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRSO","kWh","N2O","lbs",9e-6,2.2046230000000002,"lbs_per_kg",4.082330629772074e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRTV","kWh","N2O","lbs",1.2e-5,2.2046230000000002,"lbs_per_kg",5.443107506362765e-6
"USEPA eGRID2022","2024/01/30 00:00:00","2024/01/01 00:00:00",NA,2024,"Electricity","Indirect Energy","scope 2","United States","SRVC","kWh","N2O","lbs",7e-6,2.2046230000000002,"lbs_per_kg",3.1751460453782798e-6
